investor_name,company_name,round,amount_million,year
"Summit Ventures ",NovaPay,Series A,15,2017
Summit Ventures,NovaPay,Series B,45,2019
Northstar Capital,NovaPay,Series C,120,2021
Sequoia Trail,DataForge,Series A,20,2015
Sequoia Trail,DataForge,Series B,80,2017
Meridian Growth,DataForge,Series C,200,2020
Orbit Fund,GreenGrid,Seed,3,2017
Orbit Fund,GreenGrid,Series A,25,2019
Blue Harbor Partners,CloudNest,Series B,90,2015
Everest Partners,CloudNest,Series C,150,2018
Dragonfly Capital,LogiFlow,Series A,18,2016
Dragonfly Capital,GameForge,Series B,55,2016
Nexus Seed,EduSpark,Seed,2.5,2018
Nexus Seed,EduSpark,Series A,22,2020
Pioneer Labs Fund,MobiliT,Seed,4,2017
Pioneer Labs Fund,QuantumLeap,Seed,6,2018
Atlas Ventures,SecureLayer,Series A,30,2016
Atlas Ventures,SecureLayer,Series B,70,2019
Cedar Angel Group,ShopSphere,Seed,1.5,2013
Meridian Growth,ShopSphere,Series B,60,2016
Horizon Equity,InsureWise,Series A,28,2017
Lighthouse Capital,MediChain,Series A,24,2018
Vanguard Tech Fund,GameForge,Series C,110,2019
Northstar Capital,FinLedger,Series C,130,2018
Summit Ventures,VoiceCraft,Series A,40,2020
Sequoia Trail,HealthLoop,Series A,26,2016
Everest Partners,BioNova,Series B,75,2019
Orbit Fund,PropertyPro,Series A,22,2015
Dragonfly Capital,VirtualForge,Series A,19,2018
Blue Harbor Partners,StreamWave,Series B,85,2016
Meridian Growth,SkyRoute,Series B,64,2018
Nexus Seed,UrbanFarm,Seed,3.5,2018
Phantom Capital,NovaPay,Series D,300,2023
