entity_name,entity_type,award_name
NovaPay,company,TechCrunch Startup of the Year 2019
DataForge,company,Forbes Cloud 100 2020
CloudNest,company,Forbes Cloud 100 2022
GreenGrid,company,EU Sustainability Prize 2019
CarbonZero,company,EU Sustainability Prize 2021
SecureLayer,company,Fast Company Most Innovative 2019
EduSpark,company,Fast Company Most Innovative 2021
HealthLoop,company,Webby Award Best HealthTech App 2020
NovaPay,company,Webby Award Best Fintech App 2018
QuantumLeap,company,CES Innovation Award 2020
AgriSense,company,CES Innovation Award 2018
GameForge,company,Deloitte Fast 500 2020
FinLedger,company,Deloitte Fast 500 2022
VoiceCraft,company,TechCrunch Startup of the Year 2021
Elena Rossi,person,Founder of the Year 2020
Marcus Chen,person,Founder of the Year 2022
Priya Nair,person,Women in Tech Leadership Award 2021
Sofia Lindqvist,person,Women in Tech Leadership Award 2019
Grace Kim,person,MIT TR35 Innovator 2018
Hannah Schmidt,person,MIT TR35 Innovator 2020
Marcus Chen,person,MIT TR35 Innovator 2018
GhostApp,company,Forbes Cloud 100 2020
